slug	harness	model	status	exit	install_s	agent_s	files_changed	insertions	deletions	has_result
grok46	pi	xai/grok-4.6	done	0	0	0	1	1	0	no
glm53	pi	z-ai/glm-5.3-flash	done	0	0	0	1	1	0	no
kimik3	pi	chutes/moonshotai/Kimi-K3-TEE	done	0	0	0	1	1	0	no
deepseekv4	pi	chutes/deepseek-ai/DeepSeek-V4-Flash-0731-TEE	done	0	0	0	1	1	0	no
codex-sol	codex	gpt-5.6-sol	done	0	0	0	0	0	0	no
sonnet5	claude	claude-sonnet-5	done	0	0	0	0	0	0	no
opus48	claude	claude-opus-4-8	done	0	0	0	0	0	0	no
opus5	claude	claude-opus-5	done	0	0	0	0	0	0	no
fable	claude	fable	done	0	0	0	0	0	0	no
